Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998.0,Small,Tier 3,Grocery Store,186.424
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998.0,Small,Tier 3,Grocery Store,101.2016
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998.0,Small,Tier 3,Grocery Store,263.6568
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998.0,Small,Tier 3,Grocery Store,345.5502
FDR47,17.85,Low Fat,0.07008762299999999,Breads,196.5794,OUT010,1998.0,Small,Tier 3,Grocery Store,585.2382
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998.0,Small,Tier 3,Grocery Store,161.1236
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,1998.0,Small,Tier 3,Grocery Store,327.5736
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,1998.0,Small,Tier 3,Grocery Store,231.6984
NCZ54,14.65,Low Fat,0.080426149,Household,161.5552,OUT010,1998.0,Small,Tier 3,Grocery Store,324.9104
FDE10,6.67,Regular,0.150554711,Snack Foods,130.0626,OUT010,1998.0,Small,Tier 3,Grocery Store,131.1626
FDP28,13.65,Regular,0.134975628,Frozen Foods,260.0936,OUT010,1998.0,Small,Tier 3,Grocery Store,260.9936
DRF27,8.93,Low Fat,0.049754975,Dairy,152.134,OUT019,1985.0,Small,Tier 3,Grocery Store,153.134
FDQ04,6.4,Low Fat,0.148392623,Frozen Foods,41.5796,OUT019,1985.0,Small,Tier 3,Grocery Store,41.2796
FDK21,7.905,Low Fat,0.016758568999999997,Snack Foods,250.4408,OUT010,1998.0,Small,Tier 3,Grocery Store,500.6816
FDE08,18.2,Low Fat,0.082551042,Fruits and Vegetables,147.3734,OUT010,1998.0,Small,Tier 3,Grocery Store,296.9468
FDC08,19.0,Regular,0.103481781,Fruits and Vegetables,228.272,OUT010,1998.0,Small,Tier 3,Grocery Store,452.744
NCK19,9.8,Low Fat,0.151420934,Others,194.3478,OUT010,1998.0,Small,Tier 3,Grocery Store,387.4956
FDT57,15.2,Low Fat,0.031860325,Snack Foods,235.1248,OUT010,1998.0,Small,Tier 3,Grocery Store,474.0496
